,index,Title,Rank,World_Gross,Domestic_Gross,Domestic_Percentage,Foreign_Gross,Foreign_Percentage,Year,Distributor,Domestic_Opening,Budget,Release_Month,Rating,Runtime,Markets,Action,Adventure,Animation,Biography,Comedy,Crime,Documentary,Drama,Family,Fantasy,History,Musical,Mystery,Romance,SciFi,Sport,Thriller,War,Western,Paramount Pictures,Sony Pictures Entertainment (SPE),Twentieth Century Fox,Universal Pictures,Walt Disney Studios Motion Pictures,Warner Bros.
51,111,Jumanji: Welcome to the Jungle,53,962542945,404540171.0,42.0,558002774,58.0,2017,Sony Pictures Entertainment (SPE),36169328.0,90000000.0,12.0,PG13,119.0,76.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
52,113,The Hobbit: The Battle of the Five Armies,54,962182865,255119788.0,26.5,707063077,73.5,2014,Warner Bros.,54724334.0,90344416.66666667,12.0,PG13,144.0,51.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,115,Pirates of the Caribbean: At World's End,55,960996492,309420425.0,32.2,651576067,67.8,2007,Walt Disney Studios Motion Pictures,114732820.0,300000000.0,5.0,PG13,169.0,51.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,117,The Hobbit: The Desolation of Smaug,56,959007513,258366855.0,26.9,700640658,73.1,2013,Warner Bros.,73645197.0,90344416.66666667,12.0,PG13,161.0,55.0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,119,The Lord of the Rings: The Two Towers,57,947495095,342551365.0,36.2,604943730,63.8,2002,New Line Cinema,62007528.0,94000000.0,12.0,PG,179.0,66.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,121,Harry Potter and the Order of the Phoenix,58,942172396,292353413.0,31.0,649818983,69.0,2007,Warner Bros.,77108414.0,150000000.0,7.0,PG13,138.0,63.0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
57,123,Finding Nemo,59,940352645,380843261.0,40.5,559509384,59.5,2003,Walt Disney Studios Motion Pictures,70251710.0,94000000.0,5.0,,100.0,29.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
58,125,Harry Potter and the HalfBlood Prince,60,934454096,302305431.0,32.4,632148665,67.6,2009,Warner Bros.,77835727.0,250000000.0,7.0,PG,153.0,63.0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
59,127,Shrek 2,61,928760770,441226247.0,47.5,487534523,52.5,2004,DreamWorks Distribution,108037878.0,150000000.0,5.0,PG,93.0,63.0,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
60,129,Bohemian Rhapsody,62,910809311,216668042.0,23.8,694141269,76.2,2018,Twentieth Century Fox,51061119.0,52000000.0,10.0,PG13,134.0,51.0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
61,131,The Battle at Lake Changjin,63,902540935,342411.0,41.696187175043335,902198524,100.0,2021,CMC Pictures,105768.0,90344416.66666667,10.0,,176.0,51.0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
62,133,The Lord of the Rings: The Fellowship of the Ring,64,898094742,316115420.0,35.2,581979322,64.8,2001,New Line Cinema,47211490.0,93000000.0,12.0,PG13,178.0,61.0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,135,Harry Potter and the Goblet of Fire,65,896678241,290417905.0,32.4,606260336,67.6,2005,Warner Bros.,102685961.0,150000000.0,11.0,PG13,157.0,45.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
64,137,SpiderMan 3,66,894983373,336530303.0,37.6,558453070,62.4,2007,Sony Pictures Entertainment (SPE),151116516.0,258000000.0,5.0,PG13,139.0,45.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
65,139,Ice Age: Dawn of the Dinosaurs,67,886686817,196573705.0,22.2,690113112,77.8,2009,Twentieth Century Fox,41690382.0,90000000.0,6.0,PG,94.0,45.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
66,141,Spectre,68,880681519,200074609.0,22.7,680606910,77.3,2015,Sony Pictures Entertainment (SPE),70403148.0,245000000.0,10.0,PG13,148.0,66.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
67,143,SpiderMan: Homecoming,69,880166924,334201140.0,38.0,545965784,62.0,2017,Sony Pictures Entertainment (SPE),117027503.0,175000000.0,7.0,PG13,133.0,75.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
68,145,Harry Potter and the Chamber of Secrets,70,879602366,262450136.0,29.8,617152230,70.2,2002,Warner Bros.,88357488.0,100000000.0,11.0,PG,161.0,30.0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
69,147,Ice Age: Continental Drift,71,877244782,161321843.0,18.4,715922939,81.6,2012,Twentieth Century Fox,46629259.0,95000000.0,6.0,PG,88.0,30.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
70,149,The Secret Life of Pets,72,875458631,368384330.0,42.1,507074301,57.9,2016,Universal Pictures,104352905.0,75000000.0,6.0,PG,87.0,64.0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,151,Batman v Superman: Dawn of Justice,73,873637528,330360194.0,37.8,543277334,62.2,2016,Warner Bros.,166007347.0,250000000.0,3.0,PG13,152.0,64.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
72,153,Wolf Warrior 2,74,870325439,2721100.0,0.3,867604339,99.7,2017,The H Collective,219022.0,30100000.0,7.0,,123.0,64.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
73,155,Star Wars: Episode III  Revenge of the Sith,75,868390560,380270577.0,43.8,488119983,56.2,2005,Twentieth Century Fox,108435841.0,113000000.0,5.0,PG13,140.0,67.0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
74,157,The Hunger Games: Catching Fire,76,865011746,424668047.0,49.1,440343699,50.9,2013,Lionsgate,158074286.0,130000000.0,11.0,PG13,146.0,67.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0
75,159,Guardians of the Galaxy Vol. 2,77,863756051,389813101.0,45.1,473942950,54.9,2017,Walt Disney Studios Motion Pictures,146510104.0,200000000.0,4.0,PG13,136.0,52.0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
76,161,Inside Out,78,858848019,356921711.0,41.6,501926308,58.4,2015,Walt Disney Studios Motion Pictures,90440272.0,175000000.0,6.0,PG,95.0,66.0,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,163,Venom,79,856085151,213515506.0,24.9,642569645,75.1,2018,Sony Pictures Entertainment (SPE),80255756.0,100000000.0,10.0,PG13,112.0,76.0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
78,165,Thor: Ragnarok,80,853983911,315058289.0,36.9,538925622,63.1,2017,Walt Disney Studios Motion Pictures,122744989.0,180000000.0,10.0,PG13,130.0,52.0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
